"LPI_final" "CI_low" "CI_high"
"1970" 1 1 1
"1971" 1.00198650350491 0.981945922191625 1.02254649294612
"1972" 0.994624471208637 0.954384341730725 1.0384938999456
"1973" 0.962504381058516 0.886820511571973 1.04135559346291
"1974" 0.950146883681931 0.85287130059742 1.05214374144484
"1975" 0.983326817194209 0.852620472748741 1.12785025631424
"1976" 0.96189196259816 0.823723973228029 1.112192238672
"1977" 0.927488579320699 0.793875038221496 1.074025450205
"1978" 0.885245147467429 0.75697436000151 1.02766015335214
"1979" 0.865997032346019 0.740142515548102 1.00884997068108
"1980" 0.852021044975357 0.725497904690458 0.995035808666967
"1981" 0.835924363262589 0.707809798347792 0.982800097491963
"1982" 0.834447456278711 0.701475667224018 0.985081881500581
"1983" 0.797360657772501 0.666472883717587 0.953960505741551
"1984" 0.784159525947368 0.652146500066331 0.943676069702968
"1985" 0.785139072115624 0.650793365408062 0.946576121743442
"1986" 0.789010327286797 0.652974209077383 0.951913454122606
"1987" 0.800718297379127 0.661550290933254 0.967128572021961
"1988" 0.807581006257376 0.666454345662097 0.976732821806057
"1989" 0.80692943843592 0.66464885910741 0.976924616052409
"1990" 0.803232089942932 0.659525353821363 0.974080187477739
"1991" 0.798160473017002 0.639817172139642 0.986651962799631
"1992" 0.784609373842937 0.630040942535695 0.973375209144592
"1993" 0.768639694566167 0.615688302708368 0.955267410161342
"1994" 0.733945110366502 0.584925830222277 0.915826151623753
"1995" 0.731811921939946 0.58330799310566 0.91396236608846
"1996" 0.719825386189561 0.569358903053684 0.904660421847628
"1997" 0.720848191575013 0.570342987777609 0.907399895900755
"1998" 0.710391028244627 0.560878680993733 0.894109170478058
"1999" 0.675184065479161 0.532903594684328 0.853542202889558
"2000" 0.65818062937252 0.517747986452553 0.833319654799139
"2001" 0.651610670271452 0.511117333326169 0.828014312596139
"2002" 0.629310400416548 0.491604380813551 0.802626901436134
"2003" 0.638820026372113 0.497079067949508 0.818551792682145
"2004" 0.618324530923593 0.479613099258277 0.792973459308764
"2005" 0.605253948510476 0.468171813091711 0.778910542587873
"2006" 0.571061306443244 0.440162518875067 0.740873970595859
"2007" 0.551257022353496 0.422601089389801 0.715994421425517
"2008" 0.512101743742132 0.392039622779808 0.665540542116386
"2009" 0.480851810367147 0.366029859342469 0.625908912885665
"2010" 0.460760710832136 0.349792265664138 0.601232054574388
"2011" 0.428345523751237 0.323566503104468 0.56402092867627
"2012" 0.410364190414774 0.308774051915145 0.541216229197
"2013" 0.405607409652481 0.305003004959983 0.537740785489637
"2014" 0.398109636888307 0.296603591588912 0.53425962069571
"2015" 0.407842246325613 0.301811282831561 0.55166617598272
"2016" 0.401222453695775 0.296904301127654 0.544268778026872
