"LPI_final" "CI_low" "CI_high"
"1970" 1 1 1
"1971" 0.98927909858124 0.972428674346812 1.00674516789361
"1972" 0.975861243678169 0.945749000592916 1.00452546080066
"1973" 0.957652442918489 0.919974121062435 0.994807230989625
"1974" 0.940638728994046 0.897426678959428 0.984112792645786
"1975" 0.938659051956535 0.8865718384472 0.991036382670432
"1976" 0.91803250004877 0.863825518605772 0.973155162185251
"1977" 0.896296359314596 0.841285924323755 0.95159236464475
"1978" 0.869481650648336 0.815340153986993 0.92390732637969
"1979" 0.848377982043782 0.793776934718374 0.903842752271372
"1980" 0.825532818932545 0.771029017157386 0.881315026594019
"1981" 0.803653137558091 0.748297377108812 0.860511144961336
"1982" 0.779614565561286 0.724670058532108 0.837172232731826
"1983" 0.747507263815231 0.692274008250119 0.805369927202712
"1984" 0.725386121414252 0.668143906136653 0.784962781774652
"1985" 0.705781156560132 0.646762665200595 0.76725908577399
"1986" 0.689825635679744 0.631084266798468 0.751975484266792
"1987" 0.661707414096271 0.603501612186285 0.722999256297735
"1988" 0.639177657862374 0.58096710315325 0.701087350869028
"1989" 0.636840619684503 0.577176817807331 0.700317511870928
"1990" 0.643498059990433 0.581404444445038 0.70886907476931
"1991" 0.62798527755582 0.564706701070656 0.696000423878443
"1992" 0.607520212559821 0.544985533474189 0.674802093088544
"1993" 0.600834950630925 0.538393457441854 0.66864140061873
"1994" 0.582000912866467 0.520210883896675 0.649646008001188
"1995" 0.571630226697354 0.509689003238424 0.63863668387764
"1996" 0.553992642768211 0.492875069623565 0.619589545093476
"1997" 0.538654084969319 0.478343036852152 0.603334274512183
"1998" 0.520582822101065 0.462565971688819 0.584741472240251
"1999" 0.507415107190708 0.449827095674669 0.569737860614548
"2000" 0.491949178369476 0.435622532340482 0.554162933630592
"2001" 0.479522294246169 0.423427403538491 0.541041910255925
"2002" 0.464040629458601 0.407699240901244 0.526722424040961
"2003" 0.462113140749323 0.404886762107737 0.525781748329975
"2004" 0.458114111794672 0.400472259265283 0.521477442556908
"2005" 0.443064504713682 0.386484635611407 0.50599418293171
"2006" 0.422190592169946 0.366916900015982 0.482422247443298
"2007" 0.406336259393026 0.35218284334969 0.466303936576815
"2008" 0.390630600261112 0.33814616798765 0.449413276813406
"2009" 0.38089735901497 0.329101735485617 0.438960175157573
"2010" 0.37614509353344 0.323337567896088 0.435645811452413
"2011" 0.362821799271517 0.311771683782741 0.421133907948837
"2012" 0.357647288719199 0.306287565769538 0.416080255565407
"2013" 0.351730140735253 0.300482889851836 0.410282708152488
"2014" 0.347965283093857 0.29677276488397 0.406578803139603
"2015" 0.350553534701264 0.298364198050073 0.40972545642672
"2016" 0.346070665972756 0.294661168093795 0.404508851406979
"2017" 0.337272273460221 0.285789587686666 0.395531991963161
